year,region,rating,teams
2014,LEC,1501.3,25
2014,LCS,1498.7,24
2015,LCK,1522.9,15
2015,LMS,1504.5,12
2015,LEC,1507.7,15
2015,LCS,1486.5,14
2015,CBLOL,1500.0,10
2016,LCK,1557.7,13
2016,LMS,1487.1,14
2016,LEC,1506.0,15
2016,CBLOL,1489.6,13
2016,LCS,1486.2,16
2016,LJL,1500.0,8
2016,LPL,1511.3,14
2017,LCK,1582.6,12
2017,LPL,1539.1,15
2017,LEC,1517.5,15
2017,LJL,1490.1,10
2017,LCS,1493.3,12
2017,CBLOL,1501.5,13
2017,LMS,1481.1,13
2018,LPL,1562.4,14
2018,LCK,1591.0,16
2018,VCS,1494.0,15
2018,LEC,1531.7,10
2018,LMS,1462.4,10
2018,CBLOL,1506.8,10
2018,LCS,1514.1,10
2018,LJL,1482.0,11
2019,CBLOL,1507.0,10
2019,LPL,1582.3,18
2019,LCK,1611.3,14
2019,VCS,1479.2,14
2019,LMS,1461.3,8
2019,LEC,1553.4,10
2019,LJL,1492.0,8
2019,LCS,1506.7,10
2020,LPL,1595.1,17
2020,LEC,1565.9,10
2020,CBLOL,1513.0,10
2020,LCS,1506.2,10
2020,VCS,1488.8,13
2020,LCK,1626.4,12
2020,LJL,1489.2,8
2020,PCS,1468.0,12
2021,LPL,1610.3,18
2021,LCK,1658.6,10
2021,LCS,1514.9,10
2021,CBLOL,1495.7,11
2021,VCS,1493.8,10
2021,LEC,1568.4,10
2021,LJL,1473.4,8
2021,PCS,1463.8,10
2022,LPL,1627.8,17
2022,LCK,1691.8,10
2022,LEC,1571.4,10
2022,LCS,1509.2,10
2022,CBLOL,1497.7,11
2022,LJL,1462.3,8
2022,PCS,1438.4,11
2022,VCS,1488.6,11
2023,LPL,1642.2,17
2023,LCK,1698.7,10
2023,CBLOL,1503.0,10
2023,LEC,1577.8,10
2023,LCS,1512.5,11
2023,LJL,1457.5,8
2023,PCS,1443.4,16
2023,VCS,1490.0,13
2024,LEC,1582.1,10
2024,LCK,1719.1,10
2024,PCS,1453.1,11
2024,LJL,1441.4,6
2024,VCS,1484.5,8
2024,CBLOL,1496.0,10
2024,LCS,1526.2,8
2024,LPL,1646.4,17
2025,LPL,1642.5,16
2025,LCK,1748.4,10
2025,LCP,1572.1,13
2025,LEC,1589.4,11
2025,CBLOL,1484.6,13
2025,LCS,1526.9,12
2026,LCK,1750.2,10
2026,LPL,1644.4,14
2026,LCP,1574.6,8
2026,LEC,1602.0,12
2026,CBLOL,1486.7,8
2026,LCS,1538.3,8
